         619085 function calls (598864 primitive calls) in 0.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 responses.py:1(<module>)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      932    0.001    0.000    0.001    0.000 typing.py:172(_collect_type_vars)
      624    0.000    0.000    0.001    0.000 ATNDeserializer.py:460(<lambda>)
        1    0.000    0.000    0.001    0.001 cookies.py:39(<module>)
        1    0.000    0.000    0.001    0.001 packages.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sjisprober.py:28(<module>)
7776/5772    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 subprocess.py:368(check_output)
  974/281    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.001    0.001 __init__.py:15(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:448(run)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      168    0.001    0.000    0.001    0.000 inspect.py:625(cleandoc)
        1    0.000    0.000    0.001    0.001 models.py:3(<module>)
       86    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      742    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     2780    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
     2225    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 context.py:164(allow_connection_pickling)
        1    0.000    0.000    0.001    0.001 PredictionContext.py:6(<module>)
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
     8330    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 watchgodreload.py:1(<module>)
     1126    0.000    0.000    0.001    0.000 ATNDeserializer.py:453(<lambda>)
        1    0.000    0.000    0.001    0.001 Parser.py:5(<module>)
      543    0.001    0.000    0.001    0.000 inspect.py:1838(_signature_is_functionlike)
        1    0.000    0.000    0.001    0.001 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.001    0.001 _cmd.py:1(<module>)
      624    0.000    0.000    0.001    0.000 Transition.py:73(__init__)
    15434    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      627    0.000    0.000    0.001    0.000 typing.py:682(<genexpr>)
     1485    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      352    0.001    0.000    0.001    0.000 typing.py:219(_remove_dups_flatten)
       89    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 pdb.py:3(<module>)
        1    0.000    0.000    0.001    0.001 configuration.py:2(<module>)
    10850    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ATN.py:5(<module>)
        1    0.000    0.000    0.001    0.001 api.py:3(<module>)
      618    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
    16932    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 architype.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:10(<module>)
        2    0.000    0.000    0.001    0.001 http.py:1(<module>)
     2270    0.001    0.000    0.001    0.000 ATNState.py:136(addTransition)
      866    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
     1370    0.001    0.000    0.001    0.000 Transition.py:108(__init__)
        1    0.000    0.000    0.001    0.001 constructor.py:3(<module>)
     2581    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     3818    0.001    0.000    0.001    0.000 typing.py:329(__hash__)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:732(__init__)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:114(doc_note)
        1    0.000    0.000    0.001    0.001 sessions.py:3(<module>)
       13    0.000    0.000    0.001    0.000 enum.py:451(<listcomp>)
        1    0.000    0.000    0.001    0.001 architype_interp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1550(_execute_child)
     1075    0.000    0.000    0.001    0.000 ATNDeserializer.py:482(<lambda>)
        1    0.000    0.000    0.001    0.001 multipart.py:1(<module>)
       54    0.001    0.000    0.001    0.000 enum.py:171(<setcomp>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 chardistribution.py:28(<module>)
        1    0.000    0.000    0.001    0.001 constructor.py:171(SafeConstructor)
       34    0.000    0.000    0.001    0.000 interface.py:77(decorator_func)
        1    0.000    0.000    0.001    0.001 memory.py:1(<module>)
       85    0.000    0.000    0.001    0.000 typing.py:496(__init__)
     2581    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
     1923    0.001    0.000    0.001    0.000 ATN.py:75(addState)
      866    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        2    0.000    0.000    0.001    0.000 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rdatatype.py:18(<module>)
        1    0.000    0.000    0.001    0.001 from_thread.py:1(<module>)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ssl_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      201    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
      624    0.000    0.000    0.001    0.000 Transition.py:79(makeLabel)
    18381    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:441(StrFormatStyle)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 ipaddress.py:4(<module>)
        1    0.000    0.000    0.001    0.001 md.py:1(<module>)
        1    0.000    0.000    0.001    0.001 routing.py:457(APIRouter)
       49    0.000    0.000    0.001    0.000 typing.py:875(__class_getitem__)
      149    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
      857    0.001    0.000    0.001    0.000 enum.py:368(__setattr__)
        1    0.000    0.000    0.001    0.001 adapters.py:3(<module>)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 applications.py:34(FastAPI)
        1    0.000    0.000    0.001    0.001 jac_set.py:1(<module>)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ParserRuleContext.py:28(<module>)
      166    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 wire.py:3(<module>)
     5104    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 termui.py:1(<module>)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
       15    0.000    0.000    0.001    0.000 dataclasses.py:486(_init_fn)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interp.py:1(<module>)
      121    0.000    0.000    0.001    0.000 enum.py:473(_get_mixins_)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
     1075    0.000    0.000    0.001    0.000 ATNState.py:149(__init__)
        1    0.000    0.000    0.001    0.001 formatting.py:1(<module>)
      392    0.000    0.000    0.001    0.000 inspect.py:493(unwrap)
       15    0.000    0.000    0.001    0.000 dataclasses.py:534(_repr_fn)
       96    0.000    0.000    0.001    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.001    0.001 dumper.py:2(<module>)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1(<module>)
     2156    0.000    0.000    0.001    0.000 typing.py:1264(get_origin)
     2437    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.001    0.001 ATNState.py:67(<module>)
        1    0.000    0.000    0.001    0.001 inet.py:18(<module>)
        1    0.000    0.000    0.001    0.001 RuleContext.py:27(<module>)
        1    0.000    0.000    0.001    0.001 walker_api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.001    0.001 http_client.py:1(<module>)
       44    0.000    0.000    0.001    0.000 decorators.py:304(decorator)
        1    0.000    0.000    0.001    0.001 oauth2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 walker_api.py:12(walker_api)
      742    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:841(source_to_code)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 config.py:352(BaseConfigurator)
       11    0.000    0.000    0.001    0.000 _immutable_ctx.py:48(immutable)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
       99    0.000    0.000    0.001    0.000 inspect.py:1800(_signature_bound_method)
  558/169    0.000    0.000    0.001    0.000 typing.py:265(_eval_type)
      121    0.001    0.000    0.001    0.000 enum.py:484(_find_data_type)
